Program.Name,DBA,Phone,Certification,Address,latitude,longitude
"Pinnacle Treatment Centers PA-V, LLC",Pinnacle Treatment Services of Aliquippa,(724) 857-9640,Certified,"400 Woodlawn Dr., Aliquippa, PA, 15001",40.6178447,-80.2461717
White Deer Run,,(800) 255-2335,Certified,"360 White Deer Run Road, Allenwood, PA, 17810",41.09999076,-76.92598353
Dolminis Methadone Maintenance Program,,(814) 204-0059,Certified,"2 Sellers Drive, Altoona, PA, 16601",40.4607391,-78.4085282
"Pennsylvania Care, LLC",Miners Medical,(570) 822-5145,Certified,"43 South Main Street, Ashley, PA, 18706",41.21155375,-75.90164995
New Directions Treatment Services,,(610) 758-8011,Certified,"2442 Broadhead Rd., Bethlehem, PA, 18020",40.6778978,-75.3662675
Lehigh County Center for Recovery,,(855) 256-3285,Provisional,"1620 Riverside Drive, Bethlehem, PA, 18015",40.62192193,-75.33311643
MedMark Treatment Centers - Blairsville PA,MedTech Rehab,(724) 459-4884,Certified,"1984 Route 22, Blairsville, PA, 15717",40.4405904,-79.2554591
"Foundations Medical Services, LLC",,(724) 431-2006,Certified,"160 Hindman Road, Butler, PA, 16001",40.88161281,-79.94823561
ARS of Pennsylvania LLC,,(717) 761-4500,Certified,"3433 Trindle Road, Camp Hill, PA, 17011",40.236846,-76.938806
"Fayette Treatment Program, LLC",Greene Treatment Center,(724) 966-5000,Certified,"2695 Roy E Furman Highway, Carmichaels, PA, 15320",39.8586748,-79.9458059
Pinnacle Treatment Centers PA-VIII,Charleroi Treatment Services,(724) 565-1310,Certified,"15 Arentzen Blvd., Charleroi, PA, 15022",40.12151561,-79.88546037
"Prospect CCMC, LLC",Crozer Chester Medical Center,(610) 619-8645,Certified,"301 w 15th st, Chester, PA, 19013",39.85852,-75.36461
"Discovery House CU, LLC",Discovery House,(814) 768-7575,Certified,"214 Airport Road, Clearfield, PA, 16830",41.04567016,-78.39681107
"Advanced Treatment Systems, LLC",Coatesville Treatment Center,(610) 466-9250,Certified,"1825 East Lincoln Hwy., Coatesville, PA, 19320",39.9861247,-75.8064526
"Center for Behavioral Health-PA, LLC",Discovery House,(724) 779-2010,Certified,"301 Smith Dr., Suite 3, Cranberry Township, PA, 16066",40.6976769,-80.1015528
Recovery Centers of America at Devon,Recovery Centers of America at Devon,,Certified,"235 W. Lancaster Ave, Devon, PA, 19333",40.0452027,-75.4279745
"Aldie Foundation, Inc.",,(215) 345-8530,Certified,"11 Welden Drive, Doylestown, PA, 18901",40.3339994,-75.144277
"Discovery House-BC, LLC",Discovery House,(814) 944-7000,Certified,"3438 Route 764, Duncansville, PA, 16635",40.4616904,-78.426631
"Habit Opco, LLC",Habit OPCO - Dunmore,(570) 344-5327,Certified,"118 Monahan Avenue, Dunmore, PA, 18512",41.4310243,-75.6157833
Eagleville Hospital,Eagleville Hospital,(610) 539-6000,Certified,"100 Eagleville Rd., Eagleville, PA, 19403",40.157707,-75.4102324
Esper Treatment Center,,(814) 459-0817,Certified,"25 West 18th St., Erie, PA, 16508",42.118234,-80.07827627
New Directions Healthcare,New Directions Healthcare,(814) 240-6216,Certified,"306 West 11th Street, Erie, PA, 16501",42.12220341,-80.08839398
"DISCOVERY HOUSE-NPA, LLC",Discovery House,(724) 981-9815,Certified,"1914 Mercer Avenue, Farrell, PA, 16121",41.21307446,-80.48040746
Medmark Treatment Centers - Greensburg,,(724) 834-1144,Certified,"1037 Compass Circle, Greensburg, PA, 15601",40.3071116,-79.5218906
"Pinnacle Treatment Centers PA-VII, LLC",Hanover Treatment Services,(717) 969-8400,Certified,"120 Penn Street, Hanover, PA, 17331",39.80974048,-76.97976544
"Discovery House HA, LLC",Discovery House,(717) 233-7290,Certified,"99 South Cameron St., Harrisburg, PA, 17101",40.262986,-76.87361
Pennsylvania Psychiatric Institute,,(717) 480-8083,Certified,"2501 North 3rd St., Harrisburg, PA, 17110",40.2874113,-76.89867481
"RHJ Medical Center, Inc",,(724) 696-9600,Certified,"1005 Old State Route 119, Hunker, PA, 15639",40.1923381,-79.5878627
"Discovery House, LLC",Discovery House,(215) 947-4100,Certified,"2755 Philmont Avenue, Huntingdon Valley, PA, 19006",40.12256155,-75.04736353
"Pinnacle Treatment Centers PA-III, LLC",Alliance Medical Services-Johnstown,(814) 269-4700,Certified,"1425 Scalp Avenue #175, Johnstown, PA, 15904",40.2723128,-78.8564892
Bowling Green Brandywine,Bowling Green Brandywine,(610) 268-3588,Certified,"1385 Newark Road, Kennett Square, PA, 19348",39.8498419,-75.7677452
"ARS of Lancaster, LP",Addiction Recovery Systems,(717) 394-7160,Certified,"2192 Embassy Dr., Lancaster, PA, 17603",40.0451902,-76.3678166
White Deer Run of Lancaster,,(717) 396-0650,Provisional,"53-55 N. West End Avenue, Lancaster, PA, 17603",40.0397218,-76.3227971
Aldie Foundation Inc.,,(215) 642-3230,Certified,"2291 Cabot Blvd. West, Langhorne, PA, 19047-1806",40.1915127,-74.8683026
SOAR Corp,,(215) 464-4450,Certified,"33 WILLIAMS STREET, LANSDOWNE, PA, 19050",39.9400824,-75.2554241
RCA MAT PA LLC,Delaware County Healthcare Clinic,(484) 257-1350,Provisional,"53 N UNION AVE, LANSDOWNE, PA, 19050",39.942409,-75.266242
New Perspectives of White Deer Run,,(717) 270-3900,Provisional,"3030 Chestnut Street, Lebanon, PA, 17042",40.33816174,-76.45655172
"Advanced Treatment Systems, LLC",Lebanon Treatment Center,(717) 273-8000,Certified,"3030 Chestnut St., Lebanon, PA, 17046",40.33816174,-76.45655172
Polaris Renewal Services II,,(724) 323-8200,Provisional,"2262 University Drive, Lemont Furnace, PA, 15456",39.9421164,-79.6571837
SOAR CORP,SOAR Corp,(215) 269-9081,Certified,"7500 BRISTOL PIKE, LEVITTOWN, PA, 19057",40.131369,-74.8312026
UPMC McKeesport Hospital,Addiction Medicine Services,(412) 664-3340,Provisional,"1500 Fifth Avenue, McKeesport, PA, 15132",40.3510349,-79.8490186
"Pinnacle Treatment Centers PA-VI, LLC dba Greenfield Counseling, Inc.",Greenfield Counseling,814-337-7431,Certified,"11127 Perry Hwy, Meadville, PA, 16335",41.6190503,-80.2024349
"Discovery House CC, LLC",Discovery House,(717) 766-6974,Certified,"920 Century Drive, Mechanicsburg, PA, 17055",40.21118,-76.9637209
Rainbow Recovery Center,,(724) 269-5130,Certified,"112 Timber Village Lane, Mercer, PA, 16137",41.2267084,-80.2575481
Bradford Recovery Center,,(570) 537-6035,Provisional,"64 School St, Millerton, PA, 16936",41.9746283,-76.9067506
"Pennsylvania Associates, LLC",Mount Pocono Medical,570-839-7246,Certified,"1151 Pocono Blvd Unit #3, Mt Pocono, PA, 18344-1033",41.1357424,-75.36448
"Discovery House-NC, LLC",Discovery House,(724) 598-7999,Certified,"2710 West State Street, New Castle, PA, 16101",41.003395,-80.361278
Valley Forge Medical Center and Hospital,,(610) 539-8500,Certified,"1033 West Germantown Pike, Norristown, PA, 19403",40.158226,-75.368069
Montgomery County Recovery Center,,(610) 272-3710,Certified,"316 DeKalb St., Norristown, PA, 19401",40.1144712,-75.34188
"Habit Opco, LLC",Habit Opco - Allentown,(610) 481-0444,Certified,"2970 Corporate Court, Suite 1, Orefield, PA, 18069",40.6163521,-75.6599918
Polaris Renewal Services,,(724) 736-8390,Certified,"3591 Pittsburgh Road, Perryopolis, PA, 15473",40.0975342,-79.7638632
Family Center,Family Center,(215) 955-8577,Certified,"1233 Locust Street, Philadelphia, PA, 19007",39.94794405,-75.16176759
"Addiction Medicine and Health Advocates, Inc.","AMHA, Inc.",(215) 923-4202,Certified,"928 Market Street, Philadelphia, PA, 19107-4220",39.95131086,-75.15569429
SOAR,,(215) 464-4450,Certified,"9150 Marshall Street, Philadelphia, PA, 19115",40.0739437,-75.03040713
"NorthEast Treatment Services, Inc",North East Treatment Centers,(215) 451-7034,Certified,"499 N. 5th street, Philadelphia, PA, 19123",39.958713,-75.146998
"Northeast Treatment Centers, Inc",NET Steps II,(267) 348-3550,Certified,"7520 State Road, Philadelphia, PA, 19136",40.02837768,-75.0271325
The Healing Way,THW Group - The Healing Way,(215) 335-3520,Certified,"7900 Frankford Avenue, Philadelphia, PA, 19136",40.040863,-75.029881
Achievement Through Counseling and Treatment (ACT 1),,(215) 276-8400,Certified,"5820 Old York Rd., Philadelphia, PA, 19141",40.04179379,-75.14454974
"The Consortium, Inc.",Drug Abuse Rehabilitation Program (D.A.R.P.),(215) 596-8000,Certified,"451 University Ave., Philadelphia, PA, 19104",39.9481656,-75.1982371
Narcotic Addict Rehabilitation Program of Thomas Jefferson University,,215-790-9942,Certified,"NE Corner, 21st St. & Washington Ave., Philadelphia, PA, 19146",39.9360091,-75.1789575
John F. Kennedy Drug Treatment Clinic,,(215) 235-5520,Certified,"907 North Broad St., Philadelphia, PA, 19123",39.97033156,-75.15956677
VAMC Opioid Treatment Program,,(215) 823-5809,Certified,"38th and Woodland Ave., Bldg. 3, Philadelphia, PA, 19104",39.9463704,-75.2075474
Mercy Philadelphia Hospital,,(215) 748-9391,Certified,"501 South 54th St., Philadelphia, PA, 19143",39.95146725,-75.22961345
Merakey Parkside Recovery,,215-879-6116,Certified,"5000 Parkside Ave., Philadelphia, PA, 19131",39.979914,-75.219442
Achievement Through Counseling and Treatment (ACT II),,(215) 236-0100,Certified,"1745 North Fourth St., Philadelphia, PA, 19122",39.9776158,-75.1413539
Merakey Parkside Recovery,Merakey Parkside Recovery- Germantown,(215) 754-0246,Certified,"5429 Germantown Ave., Philadelphia, PA, 19144",40.03339175,-75.17087775
NorthEast Treatment Centers - OTP,Net Steps,215-743-6150,Certified,"2205 Bridge St., Philadelphia, PA, 19137",40.01058364,-75.06931409
North Philadelphia Health System-Goldman,,(215) 787-2080,Certified,"Girard Medical Center 801 W. Girard Avenue, Philadelphia, PA, 19122",39.9711839,-75.1501384
Kirkbride Center - A Better Way,,(215) 471-2600,Certified,"111 North 49th St., Philadelphia, PA, 19139",39.9616045,-75.21795792
Kensington Hospital Outpatient Treatment Program,Kensington Hospital,(215) 426-8100,Certified,"2100 North Front Street, Philadelphia, PA, 19122",39.981766,-75.13296
"Western Psychiatric Institute and Clinic, Narcotic Addiction treatment Program",,(412) 864-5300,Certified,"225 Penn Avenue, Pittsburgh, PA, 15221",40.44687305,-79.89196327
"Pinnacle Treatment Centers PA-I, LLC",Alliance Medical Services Ensign I,(412) 488-6360,Certified,"729 Ensign Ave., Pittsburgh, PA, 15226",40.40585735,-80.004183
"Pinnacle Treatment Centers PA-II, LLC",Alliance Medical Services Ensign II,(412) 488-6360,Certified,"739 Ensign Ave., Pittsburgh, PA, 15226",40.4062318,-80.0037497
"Center for Behavioral Health-PA, LLC",Discovery House,(412) 661-9222,Certified,"1391 Washington Blvd., Pittsburgh, PA, 15206",40.46994184,-79.90874462
"Progressive Medical Specialists, Inc.",Progressive Medical,(412) 391-6384,Certified,"2900 Smallman St, Pittsburgh, PA, 15201",40.458556,-79.974833
"Tadiso, Inc.",,(412) 322-8415,Certified,"1425 Beaver Ave., Pittsburgh, PA, 15233",40.453822,-80.02977273
VA Pittsburgh Healthcare System Center for Treatment of Addictive Disorders,Opioid Substitution Treatment Clinic,(412) 360-6092,Certified,"VA Pittsburgh Healthcare System, University Drive, Pittsburgh, PA, 15240",40.4468421,-79.9619941
"Pinnacle Treatment Centers PA-IV, LLC",Summit Medical Services,(412) 255-8717,Certified,"3121 Smallman St., Pittsburgh, PA, 15201",40.46079386,-79.97190108
"Habit Opco, LLC",Habit OPCO - Pottstown,(610) 970-5410,Certified,"301 Circle of Progress, Pottstown, PA, 19464",40.2625926,-75.6670833
"Northeast Family Health Care, LLC",Medical Director,(267) 347-4560,Certified,"1040 S. West End Boulevard, Quakertown, PA, 18951-2634",40.4317862,-75.3523795
Pennsylvania Adult & Teen Challenge,Pennsylvania Adult & Teen Challenge,(717) 933-4148,Certified,"Pennsylvania Adult Teen Challenge, Rehrersburg, PA, 19550-5000",40.4491639,-76.2436248
"Clear Choices, LLC",,(724) 775-7905,Certified,"373 Cleveland Street, Rochester, PA, 15074",40.71191904,-80.28692281
PA Care LLC,State College Medical,(814) 235-6988,Certified,"3091 Enterprise Drive, State College, PA, 16801",40.7643541,-77.8797359
"Metro Treatment of Pennsylvania, LP",New Season Uniontown,(724) 912-6800,Certified,"1023 Pittsburgh Road, Uniontown, PA, 15401",41.38488447,-79.84934653
Crozer Chester Medical Center,Prospect Crozer Medical Center,(610) 497-7459,Certified,"1 medical center blvd, Upland, PA, 19013",39.85541155,-75.36825021
"RHJ Medical Center, Inc./Vandergrift",,724-696-9600,Certified,"2994 River Road, Vandergrift, PA, 15690",40.6274755,-79.5854085
SOAR CORP,SOAR CORP,(215) 464-4450,Provisional,"655 LOUIS DRIVE, WARMINSTER, PA, 18974",40.20134955,-75.08478056
"Progressive Medical Specialist, Inc.",OTP,(724) 873-5655,Certified,"2453 West Pike Rd., Washington, PA, 15342",40.2235571,-80.2182702
"Echo Treatment Center, LLC",Methadone Clinic,724-222-6220,Certified,"50 east Wylie ave suites 2 and 3, washington, PA, 15301",40.1821788,-80.26352
"Habit Opco, LLC",Habit OPCO - Watsontown,(570) 538-1240,Certified,"759 Susquehanna Trail, Watsontown, PA, 17777",41.0611874,-76.8433564
"Wilkes-Barre Behavioral Hospital Company, LLC.",CHOICES,(570) 408-9320,Certified,"Rear 307 Laird St., Wilkes-Barre, PA, 18705",41.2556219,-75.8269758
White Deer Run Cove Forge,,(800) 873-2131,Provisional,"202 Cove Forge Road, Williamsburg, PA, 16693",40.483759,-78.173314
"Williamsport Family Medical Center, LLC",,(570) 505-1123,Certified,"2062 Lycoming Creek Road, Williamsport, PA, 17701",41.2471675,-77.0442248
New Directions Treatment Services,,(610) 750-6130,Certified,"1 Park Plaza, Wyomissing, PA, 19610",40.329537,-75.9652117
White Deer Run of York,,(717) 840-2308,Provisional,"106 Davies Drive, York, PA, 17402",39.9929483,-76.6554191
Pyramid Healthcare York Pharmacotherapy Services,,(717) 840-2300,Certified,"104 Davies Drive, York, PA, 17402",39.9929483,-76.6554191
