ProgramName,Address,Zip,Buprenorphine?,Methadone?,Vivitrol?,Same-day induction during walk-in hours?,Phone,Website,Notes (DBHIDS TAD),IOP,OP,MH Tx,latitude,longitude
Addiction Medicine and Health Advocates (AMHA),928 Market St,19107,No,Yes,No,,215-923-4202,http://www.amhainc.org/,Spanish; Child care on site,Yes,Yes,No,39.9510066,-75.1561655
Asociacion Puertorriquenos en Marcha (APM),4301 Rising Sun Ave,19140,Yes,No,No,,267-296-7200,http://apmphila.org/,Spanish,Yes,Yes,Yes,40.015865,-75.12908929999999
Chances-Phila Health Mgmt Corp (PHMC)*,"1200 Callowhill St, Suite 102",19107,Yes,No,Yes,,215-825-8220,http://www.phmc.org/site/programs/health-care-centers/375-phmc-care-clinic,"Females only, Child care on site",Yes,Yes,No,39.9590346,-75.1587131
Comhar,2055 E Allegheny Ave,19134,Yes,No,No,,215-427-5800,http://www.comhar.org/,Spanish,No,Yes,Yes,39.9929845,-75.1097948
The Consortium,451 S University Ave,19104,No,Yes,Yes,,215-596-8000,http://www.consortium-inc.org/,Spanish; Child care on site,Yes,Yes,Yes,39.9481656,-75.1982371
Drexel Medicine Caring Together Clinic,4700 Wissahickon Ave,19144,Yes,No,Yes,,215-967-2130,http://drexelmedicine.org/patient-services/psychiatry/the-caring-together-program/,"[Bupe & Vivitrol = maintenance, not induction.] Females only, Child care on site",No,Yes,No,40.0159527,-75.1724136
Gaudenzia Outreach,1306 Spring Garden St,19123,No,No,Yes,,215-238-2150,http://www.gaudenzia.org/,Spanish,Yes,Yes,Yes,39.9618338,-75.1596912
Gaudenzia-DRC,3200 Henry Ave,19129,No,No,Yes,,215-991-9700,,--,Yes,Yes,No,40.00936189999999,-75.1812822
GPass,4943 N 5th St,19120,No,No,Yes,,215-991-9700,,"Spanish, Korean, Vietnamese, Chinese, Cambodian",Yes,Yes,No,40.0269374,-75.13235039999999
Interim House Inc - PHMC,333 W Upsal St,19139,Yes,No,Yes,,215-849-4606,,Spanish,Yes,Yes,Yes,40.043181,-75.188918
JEVS Human Services - Act I,5820 Old York Road,19141,No,Yes,No,,215-276-8400,https://www.jevshumanservices.org/program/achievement-through-counseling-and-treatment/,--,Yes,Yes,No,40.0420105,-75.1446418
JEVS Human Services - Act II,1745 N 4th St,19122,No,Yes,No,,215-236-0100,https://www.jevshumanservices.org/program/achievement-through-counseling-and-treatment/,Spanish,Yes,Yes,No,39.9776158,-75.1413539
John F Kennedy Behavioral Health Center (JFK),907 N Broad St,19123,No,Yes,No,,215-235-5520,http://www.jfkmhmr.org/,--,No,Yes,Yes,39.9704202,-75.1591668
Kensington Hospital,136 Diamond St,19122,No,Yes,No,,215-426-8100,http://kensingtonhospital.org/,--,No,Yes,No,39.9817591,-75.13477910000002
Merakey Behavioral Health,5000 Parkside Ave,19131,Yes,Yes,Yes,Yes,215-879-6116,http://www.nhsonline.org/,Walk-in: M-F 7a-5:30p; Sa 8a-1:30m; Su 8-11:30a,Yes,Yes,Yes,39.9796591,-75.2197374
Merakey Behavioral Health,5429 Germantown Ave,19144,Yes,Yes,Yes,Yes,215-754-0240,http://www.nhsonline.org/,Walk-in: 7a-5:30p,Yes,Yes,Yes,40.0339722,-75.17136479999999
Merakey Behavioral Health,100 E Lehigh Ave,19125,Yes,No,Yes,Yes,215-634-2520,http://www.nhsonline.org/,Walk-in: M-F 8a-5p,Yes,Yes,Yes,39.99031069999999,-75.13013839999999
Merakey Behavioral Health,11082 Knights Road,19154,Yes,No,Yes,Yes,215-632-9040,http://www.nhsonline.org/,Walk-in: M-F 8a-5p,Yes,Yes,No,40.0836056,-74.975261
North Phila Health System - Goldman Clinic,801 W Girard Ave,19122,No,Yes,Yes,,215-787-2000,https://bewellctr.org/,Spanish,Yes,Yes,No,39.9711839,-75.1501385
NET Centers,499 N 5th St,19123,Yes,No,Yes,,215-451-7100,http://netcenters.org/services/addiction-recovery-programs/#ffs-tabbed-14,--,Yes,Yes,Yes,39.9607763,-75.145884
NET Centers,2205 Bridge St,19137,Yes,Yes,Yes,Yes,215-745-6150,http://netcenters.org/services/addiction-recovery-programs/#ffs-tabbed-14,Walk-in: M-W 7a-5p Th 7-11a; F 7a-12p,Yes,Yes,Yes,40.0105756,-75.0691226
NET Centers,7520 State Road,19136,Yes,Yes,Yes,Yes,267-348-3550,http://netcenters.org/services/addiction-recovery-programs/#ffs-tabbed-14,Child care on site; Walk-in hours [noted but not specified],Yes,Yes,Yes,40.0297839,-75.0269339
NET Centers,"4625 Frankford Ave, 2nd Fl",19124,Yes,No,No,Yes,267-597-3920,http://netcenters.org/services/addiction-recovery-programs/#ffs-tabbed-14,Spanish; MH Tx 1st FL; Walk-in: M-F 9a-4p,No,Yes,Yes,40.0152008,-75.084795
Pathways to Housing*,"5201 Old York Road, Suite 108",19141,Yes,No,Yes,,215-390-1500,http://pathwaystohousingpa.org/,Spanish; Housing Assistance,No,No,No,40.0321955,-75.1448734
Pathways to Recovery (PHMC),2301 East Allegheny Ave,19134,Yes,Yes,Yes,,215-731-2402,,"[>IOP>OP:] Partial Hospital Program; [MMT = clinic coordination, not induction]; Spanish",No,No,Yes,39.9896847,-75.1064647
Penn Medicine Presbyterian Medical Center*,"3910 Powelton Ave, 5th Fl",19104,Yes,No,No,,267-809-5080,http://www.pennmedicine.org/penn-presbyterian-medical-center/,Spanish,Yes,Yes,No,39.9589229,-75.2006364
Penn Medicine Mothers Matter Program*,"3400 Spruce St, 1 West Gates",19103,Yes,No,No,,267-593-2969,https://www.med.upenn.edu/penn-promotes/mothers-matter.pdf,Pregnant Women,No,No,No,39.950395,-75.1937157
PHMC Care Clinic MAT Program*,"1200 Callowhill St, 1st Floor",19107,Yes,No,Yes,,267-398-0247,http://www.phmc.org/site/programs/health-care-centers/375-phmc-care-clinic,Health Care Center; Spanish; PCP,No,No,No,39.9590346,-75.1587131
Prevention Point*,2913-2915 Kensington Ave,19134,Yes,No,Yes,,215-634-5272,https://ppponline.org/,Harm Reduction Svcs; Spanish,No,No,No,39.9927048,-75.1196476
Project Home*,1515 Fairmount Ave,19104,Yes,No,Yes,,215-320-6187 ext. 5756,http://www.projecthome.org/,Housing Assistance,No,No,No,39.9672595,-75.16297159999999
Soar Corp,"9150 Marshall St, Suite 2",19114,No,Yes,No,,215-464-4450,http://www.soarcorp.org/,--,Yes,Yes,No,40.0738603,-75.0310871
Thomas Jefferson University Family Center*,"1233 Locust St, Suite 201",19107,No,Yes,No,,215-955-8577,http://hospitals.jefferson.edu/departments-and-services/maternal-fetal-medicine/maternal-addiction-treatment-education-and-research.html,"*MATER; Females only, pregnancy, child care on site",Yes,Yes,Yes,39.9479863,-75.16188009999999
Thomas Jefferson University (NARP)*,21st & Washington Ave,19147,No,Yes,No,,215-735-5979,http://hospitals.jefferson.edu/diseases-and-conditions/substance-abuse.html,Spanish,Yes,Yes,Yes,39.9377053,-75.1618805
Temple TWO Program*,3401 N Broad St,19140,Yes,No,No,,215-707-3008,,Partners with the Wedge MC; OB-GYN Svcs,No,No,No,40.0054237,-75.15071979999999
Wedge Medical Center*,3609 N Broad St,19140,Yes,No,Yes,Yes,215-276-3922,http://www.wedgepc.com/,Partners with Temple TWO; Walk-in: M-W 2-3:30p; Spanish,Yes,Yes,Yes,40.007973,-75.151088
Wedge Medical Center*,2009 S Broad St,19148,Yes,No,Yes,Yes,215-276-3922,http://www.wedgepc.com/,Partners with Temple TWO: Walk-in: M 2-3:30p,Yes,Yes,Yes,39.9252061,-75.1690849
Wedge Medical Center*,4243 Frankford Ave,19124,Yes,No,Yes,Yes,215-276-3922,http://www.wedgepc.com/,Partners with Temple TWO; Walk-in: T 2-3:30p,Yes,Yes,Yes,40.0096804,-75.0891975
NET Centers,2701 N Broad St,19132,Yes,No,Yes,,215-226-1600,http://netcenters.org/services/addiction-recovery-programs/#ffs-tabbed-14,--,Yes,Yes,,39.9941599,-75.1538996
NET Centers,5501 Chestnut St,19139,Yes,No,Yes,,215-747-6480,http://netcenters.org/services/addiction-recovery-programs/#ffs-tabbed-14,--,Yes,Yes,,39.95952450000001,-75.2314499
Belmont Behavioral Health Hospital,4200 Monument Rd,19131,No,No,Yes,,877-418-7923,http://www.belmontbehavioral.com/,Spanish,Yes,Yes,No,39.9998986,-75.21513329999999
